filename,Building
tyrol-w27-63-_png_jpg.rf.28c6faa2f1bd8f419bb2e946d478532c.jpg,1
Mykolaiv_2022_A_1_R3C4_500_1000_14000_14500_jpg.rf.a63de5f045d5a7081b12a2243327f57b.jpg,1
tyrol-w27-60-_png_jpg.rf.b173e0510b3ded1498e81a4992a59cc6.jpg,0
Mykolaiv_2022_A_1_R3C4_7500_8000_15500_16000_jpg.rf.828d066c849ebafade632106319a532a.jpg,1
Mykolaiv_2022_A_1_R3C4_500_1000_4500_5000_jpg.rf.ba5286a7d458a5382370de7d56d0a7cb.jpg,1
Mykolaiv_2022_A_1_R3C4_500_1000_7500_8000_jpg.rf.c64d66b58421bbb4e2eb45277361341a.jpg,1
Mykolaiv_2022_A_1_R3C4_5500_6000_12500_13000_jpg.rf.e4142fcf9fc0fa5e3e4e969c20bdc624.jpg,1
tyrol-w27-72-_png_jpg.rf.82ab426e52cee7cb8af7166ad7a9c4dc.jpg,1
tyrol-w27-70-_png_jpg.rf.545cacd00d05d8b74d5d41653fbee098.jpg,0
Mykolaiv_2022_A_1_R3C4_5500_6000_14000_14500_jpg.rf.842f993bb1caa3cdcd86827c9040fe10.jpg,1
Mykolaiv_2022_A_1_R4C2_5000_5500_16000_16500_jpg.rf.50315c4ba0f3dda694ea96b5a1ca4fa7.jpg,1
tyrol-w27-79-_png_jpg.rf.538c7b63a1fc24ede0f7182c023cb86d.jpg,0
Mykolaiv_2022_A_1_R4C4_10500_11000_15000_15500_jpg.rf.046a5558a3e62a42d301d2061c951c7f.jpg,1
tyrol-w27-73-_png_jpg.rf.148c7f6f67161aeae96ed0ed20da6a52.jpg,1
tyrol-w27-81-_png_jpg.rf.12c3610f9678850ce59420c0e01f12ee.jpg,0
Mykolaiv_2022_A_1_R4C4_11000_11500_14000_14500_jpg.rf.e4e114615b5f00f13ffd0c87145d4d6e.jpg,1
Mykolaiv_2022_A_1_R4C4_12500_13000_10500_11000_jpg.rf.e706405485b21b2337abd90963f6bb41.jpg,1
tyrol-w27-8-_png_jpg.rf.fdd2d437b26dacdc8647025e797b0ce1.jpg,0
tyrol-w27-82-_png_jpg.rf.8d5b9319d16cea6c0e9214a55f5122a6.jpg,1
Mykolaiv_2022_A_1_R4C2_5000_5500_13000_13500_jpg.rf.fd1d3b94725a0a80725ff70b9a83e5a0.jpg,1
Mykolaiv_2022_A_1_R4C4_12500_13000_11500_12000_jpg.rf.d59a5e8a7190f15536a4b4f173e04ec4.jpg,1
tyrol-w27-76-_png_jpg.rf.4480d273d49aa4d9ab39047952db9433.jpg,0
Mykolaiv_2022_A_1_R4C3_9000_9500_16000_16500_jpg.rf.88c7108bb413b8ea7aae63ec4f559027.jpg,1
tyrol-w27-80-_png_jpg.rf.68269c7fd3c75904c9b317a240eb32ac.jpg,0
Mykolaiv_2022_A_1_R4C4_1000_1500_3500_4000_jpg.rf.8a8203e0e5835790a90d65d9aba25bf3.jpg,1
Mykolaiv_2022_A_1_R4C4_12500_13000_12500_13000_jpg.rf.44052c094f97e28ba3a426945bc0083d.jpg,1
tyrol-w27-86-_png_jpg.rf.5ad3aa60cab08226135b74cd99aea438.jpg,1
Mykolaiv_2022_A_1_R4C4_12500_13000_13000_13500_jpg.rf.8e0bd8a51f60b5b944154f6c44d9dca2.jpg,1
tyrol-w27-78-_png_jpg.rf.f0b9eac9e28ebeb6d00b907be5e2ea7f.jpg,0
Mykolaiv_2022_A_1_R4C3_13000_13500_11500_12000_jpg.rf.72c68bd2903b281f7971b5463194f0c1.jpg,1
tyrol-w27-75-_png_jpg.rf.c37def0f3399048e9663f82d94268187.jpg,1
Mekele_2022_R4C1_5500_6000_11000_11500_jpg.rf.58f12b3cf9a8dc1fc62982cacffda209.jpg,1
tyrol-w22-54-_png_jpg.rf.d98ad4dda3f602fb5203469a2a593eb4.jpg,0
Mekele_2022_R4C2_8500_9000_5500_6000_jpg.rf.3330d4a3f0f4c106ae88a40a46532f81.jpg,1
tyrol-w22-55-_png_jpg.rf.740fa6a541fb95b9fd8053be8977b9b4.jpg,0
Mekele_2022_R4C2_9000_9500_6000_6500_jpg.rf.6e61969364039a391c45c5310a1ab2a1.jpg,1
tyrol-w22-59-_png_jpg.rf.06a028a5b52176c699f66450c777075b.jpg,0
tyrol-w22-68-_png_jpg.rf.7bc9a9d6b0c43c93041f97a3e9504185.jpg,1
tyrol-w22-57-_png_jpg.rf.d0189c5b88b9aab5f0ec397beed1f8b4.jpg,1
tyrol-w22-65-_png_jpg.rf.e6bf1112f22ce74503f4da4a7f73266e.jpg,1
tyrol-w22-58-_png_jpg.rf.f0508e09e673ccff1f259ff4353f7d36.jpg,1
Mekele_2022_R4C2_9500_10000_0_500_jpg.rf.3c24b10864ecb89ad7c7af9980067d15.jpg,1
tyrol-w22-63-_png_jpg.rf.5f2aecb8687e4fde0b2f2f44146970d0.jpg,0
tyrol-w22-64-_png_jpg.rf.90e2c4a11ebf2774ea8fdb13fdf1ee35.jpg,0
tyrol-w22-6-_png_jpg.rf.697d37b4889ab5ae0d8a9423711521f2.jpg,1
Mekele_2022_R4C2_9500_10000_4500_5000_jpg.rf.a46179f7453b750d3fa312cb7d9403e3.jpg,1
chicago9-24-_png_jpg.rf.c6363578a84ad71da47a30d1ad75be59.jpg,1
Kherson_2022_V2_R4C4_14500_15000_9500_10000_jpg.rf.d067c07862c53d8ca9935aa770dd0243.jpg,1
Mekele_2022_R4C3_10500_11000_6000_6500_jpg.rf.6e60542ad266b3ce2d2200c4ce4ee1ac.jpg,1
Kherson_2022_V2_R5C5_11000_11500_2000_2500_jpg.rf.2b70632c1e38bd818c5bc634c757e761.jpg,1
Mekele_2022_R4C3_10500_11000_9000_9500_jpg.rf.75792804fd036d4e072184faaf88e829.jpg,1
tyrol-w22-7-_png_jpg.rf.6d8a260ff4d059ea7bd187bdfc47e383.jpg,1
tyrol-w22-69-_png_jpg.rf.8b86bd423afb8f2a9ce9e9945be4ab6c.jpg,1
Kherson_2022_V2_R4C9_6000_6500_500_1000_jpg.rf.2fab3a3e95dd8e8d5ed4945311172699.jpg,1
tyrol-w1-98-_png_jpg.rf.601acb20a850a78182edec55871ce0c2.jpg,1
Kherson_2022_V2_R5C3_0_500_8000_8500-Copy-Copy_jpg.rf.5d211c3bf0f3a074fcfc12560741fdc8.jpg,1
tyrol-w11-76-_png_jpg.rf.8e9d6f8b17188fa95f409cc3108dd789.jpg,0
tyrol-w1-12-_png_jpg.rf.f3cc059f82e77accfe024f2c6a2263e8.jpg,0
Kherson_2022_V2_R5C3_1000_1500_7000_7500-Copy_jpg.rf.3805f4f91656b385e4c71a216e3cc2fe.jpg,1
Mekele_2021_V3_1_R2C2_6000_6500_1000_1500_jpg.rf.6d2dd8d3d778f1efa47990a66472ae50.jpg,1
Mekele_2022_R4C2_9000_9500_6500_7000_jpg.rf.8371eb995d8721bbb9fe1e7356588c12.jpg,1
chicago9-73-_png_jpg.rf.8be6682e08b597e512d9add1a2e51835.jpg,1
Kherson_2022_V2_R4C8_6500_7000_10500_11000-Copy_jpg.rf.955fa898977bccba0392845abddfeef7.jpg,1
tyrol-w11-7-_png_jpg.rf.269691e5eff48ab220cf250d76c6f81e.jpg,0
tyrol-w10-63-_png_jpg.rf.6698575f0563785562afc7f24f4851db.jpg,0
Mekele_2021_V3_1_R2C1_1500_2000_500_1000_jpg.rf.ebadacc94feccbfdf4ce723a3165173e.jpg,1
Mekele_2021_V3_1_R1C1_14000_14500_3000_3500_jpg.rf.5a08b5083e498689b21769b906e4596b.jpg,1
Mekele_2022_R2C2_13000_13500_1500_2000_jpg.rf.923755542199b57ae86517f83418ce9d.jpg,1
tyrol-w12-41-_png_jpg.rf.98c970e2fbdee63cad1048d270bf116f.jpg,1
tyrol-w12-90-_png_jpg.rf.a7c5adaf5b25dbeabeb6bc0ebbe1ebfa.jpg,1
Mekele_2022_R3C2_5000_5500_15000_15500-Copy_jpg.rf.0eb163503c8b4c190a4121f34a979ba4.jpg,1
tyrol-w13-23-_png_jpg.rf.87188200c882b6d6600b2704c62f3cc6.jpg,0
Mekele_2022_R4C2_14500_15000_9000_9500_jpg.rf.a3250d34dc75f846ced171800e0bf87e.jpg,1
